movie_id,title,rating,release_date,studio,runtime,genre
73,"Lion King",93,1994,Disney,89,"Kids and Family"
74,"Lion King",52,2019,Disney,118,"Kids and Family"
75,"The Martian",91,2015,"20th Century Fox",142,"Sci-Fi and Fantasy"
76,"Mary Poppins",98,1964,Disney,140,"Kids and Family"
77,"Mary Poppins Returns",79,1964,Disney,132,"Kids and Family"
78,"The Matrix",88,1999,"Warner Bros Pictures",136,"Sci-Fi and Fantasy"
79,"McFarland USA",80,2015,Disney,129,Drama
80,"Mean Girls",84,2004,Paramount,157,Comedy
81,"Meet the Robinsons",67,2007,Disney,96,"Kids and Family"
82,Megamind,73,2010,Dreamworks,96,"Kids and Family"
83,"Miss Congeniality",41,2001,"Warner Bros Pictures",110,Comedy
84,Moana,95,2016,Disney,108,"Kids and Family"
85,"Monsters Inc",96,2001,Disney,92,"Kids and Family"
86,"Monsters University",80,2013,Disney,104,"Kids and Family"
87,"Never Been Kissed",55,1999,"20th Century Fox",107,Comedy
88,Newsies,39,1992,Disney,221,Musical
89,"Now You See Me",50,2013,"Summit Entertainment",115,"Action and Adventure"
90,"Now You See Me 2",33,2016,"Summit Entertainment",129,"Action and Adventure"
91,"Oceans Eleven",83,2002,"Warner Bros Pictures",117,"Action and Adventure"
92,"The Parent Trap",90,1961,Disney,124,"Kids and Family"
93,"The Parent Trap",86,1998,Disney,128,"Kids and Family"
94,"The Phantom of the Opera",33,2004,"Warner Bros Pictures",241,Musical
95,"The Princess Bride",97,1987,"Metro Goldwyn Mayer",99,"Sci-Fi and Fantasy"
96,"The Princess Diaries",48,2001,Disney,115,"Kids and Family"
97,"The Princess Diaries 2",27,2004,Disney,113,"Kids and Family"
98,"The Proposal",44,2009,"Touchstone Pictures",109,Comedy
99,"Remember the Titans",73,2000,Disney,113,Drama
100,"Rogue One: A Star Wars Story",84,2016,Disney,135,"Action and Adventure"
101,"The Sandlot",63,1993,"20th Century Fox",101,Comedy
102,"School of Rock",91,2004,Paramount,109,Comedy
103,"Sense and Sensibility",97,1995,"Columbia Pictures",136,Comedy
104,"Shanghai Noon",79,2000,"Touchstone Pictures",110,"Action and Adventure"
105,Shrek,88,2001,Dreamworks,91,"Kids and Family"
106,"Shrek 2",89,2004,Dreamworks,93,"Kids and Family"
107,"Solo: A Star Wars Story",69,2018,Disney,135,"Action and Adventure"
108,"The Sound of Music",83,1965,"20th Century Fox",175,Musical
109,"Star Wars: The Phantom Menace",52,1999,Disney,136,"Action and Adventure"
110,"Star Wars: Attack of the Clones",65,2002,Disney,143,"Action and Adventure"
111,"Star Wars: Revenge of the Sith",80,2005,Disney,140,"Action and Adventure"
112,"Star Wars: A New Hope",92,1977,Disney,125,"Action and Adventure"
113,"Star Wars: The Empire Strikes Back",94,1980,Disney,128,"Action and Adventure"
114,"Star Wars: Return of the Jedi",82,1983,Disney,135,"Action and Adventure"
115,"Star Wars: The Force Awakens",93,2015,Disney,138,"Action and Adventure"
116,"Star Wars: The Rise of Skywalker",51,2015,Disney,142,"Action and Adventure"
117,"Star Wars: The Last Jedi",90,2017,Disney,152,"Action and Adventure"
118,Tangled,89,2010,Disney,102,"Kids and Family"
119,"That Thing You Do",93,2001,"20th Century Fox",108,Drama
120,Thor,77,2011,Marvel,116,"Action and Adventure"
121,"Tommy Boy",42,1999,Paramount,157,Comedy
122,"Top Gun",54,1986,Paramount,110,"Action and Adventure"
123,"The Truman Show",95,1999,Paramount,103,Drama
124,"V for Vendetta",73,2006,"Warner Bros Pictures",133,"Action and Adventure"
125,Warrior,83,2011,Lionsgate,140,"Action and Adventure"
126,"The Wedding Singer",69,1998,"New Line Cinema",97,Comedy
127,"What About Bob",84,1991,"Touchstone Pictures",99,Comedy
128,"While You Were Sleeping",80,1995,"Hollywood Pictures",103,Romance
129,Yesterday,63,2019,"Universal Studios",116,Romance
130,Zombieland,89,2009,"Columbia Pictures",88,"Action and Adventure"
