actor_id,first_name,last_name,dob,dod,movie_id,gender
186,Natasha,Richardson,1963,2009,93,F
187,Gerard,Butler,1969,NULL,94,M
188,Emmy,Rossum,1986,NULL,94,F
189,Cary,Elwes,1962,NULL,95,M
190,Robin,Wright,1966,NULL,95,F
191,Julie,Andrews,1935,NULL,96,F
192,Anne,Hathaway,1982,NULL,96,F
193,Julie,Andrews,1935,NULL,97,F
194,Anne,Hathaway,1982,NULL,97,F
195,Sandra,Bullock,1964,NULL,98,F
196,Ryan,Reynolds,1976,NULL,98,M
197,Denzel,Washington,1954,NULL,99,M
198,Ryan,Gosling,1980,NULL,99,M
199,Felicity,Jones,1983,NULL,100,F
200,Diego,Luna,1979,NULL,100,M
201,Partick,Renna,1979,NULL,101,M
202,Chauncey,Leopardi,1981,NULL,101,M
203,Jack,Black,1969,NULL,102,M
204,Mike,White,1970,NULL,102,M
205,Hugh,Grant,1960,NULL,103,M
206,Emma,Thompson,1959,NULL,103,F
207,Jackie,Chan,1954,NULL,104,M
208,Owen,Wilson,1969,NULL,104,M
209,Mike,Myers,1963,NULL,105,M
210,Eddie,Murphy,1961,NULL,105,M
211,Mike,Myers,1963,NULL,106,M
212,Eddie,Murphy,1961,NULL,106,M
213,Emilia,Clarke,1986,NULL,107,F
214,Donald,Glover,1983,NULL,107,M
215,Julie,Andrews,1935,NULL,108,F
216,Christopher,Plummer,1929,2021,108,M
217,Natalie,Portman,1981,NULL,109,F
218,Liam,Neeson,1952,NULL,109,M
219,Natalie,Portman,1981,NULL,110,F
220,Hayden,Christensen,1981,NULL,110,M
221,Natalie,Portman,1981,NULL,111,F
222,Hayden,Christensen,1981,NULL,111,M
223,Mark,Hamill,1951,NULL,112,M
224,Harrison,Ford,1941,NULL,112,M
225,Mark,Hamill,1951,NULL,113,M
226,Harrison,Ford,1941,NULL,113,M
227,Mark,Hamill,1951,NULL,114,M
228,Harrison,Ford,1941,NULL,114,M
229,Mark,Hamill,1951,NULL,115,M
230,Harrison,Ford,1941,NULL,115,M
231,Mark,Hamill,1951,NULL,116,M
232,Harrison,Ford,1941,NULL,116,M
233,Mark,Hamill,1951,NULL,117,M
234,Harrison,Ford,1941,NULL,117,M
235,Mandy,Moore,1984,NULL,118,F
236,Zachary,Levi,1980,NULL,118,M
237,Tom,"Everett Scott",1970,NULL,119,M
238,Tom,Hanks,1956,NULL,119,M
239,Chris,Hemsworth,1983,NULL,120,M
240,Tom,Hiddleston,1981,NULL,120,M
241,Chris,Farley,1964,1997,121,M
242,David,Spade,1964,NULL,121,M
243,Tom,Cruise,1962,NULL,122,M
244,Val,Kilmer,1959,NULL,122,M
245,Jim,Carrey,1962,NULL,123,M
246,Laura,Linney,1964,NULL,123,F
247,Natalie,Portman,1981,NULL,124,F
248,Hugo,Weaving,1960,NULL,124,M
249,Tom,Hardy,1977,NULL,125,M
250,Joel,Edgerton,1974,NULL,125,M
251,Adam,Sandler,1966,NULL,126,M
252,Drew,Barrymore,1975,NULL,126,F
253,Bill,Murray,1950,NULL,127,M
254,Richard,Dreyfus,1947,NULL,127,M
255,Sandra,Bullock,1964,NULL,128,F
256,Bill,Pullman,1953,NULL,128,M
257,Himesh,Patel,1990,NULL,129,M
258,Lily,James,1989,NULL,129,F
259,Emma,Stone,1988,NULL,130,F
260,Jesse,Eisenberg,1983,NULL,130,M
